"#1 - Archives uniquement","0.1","EDT","2018","1","280","273"
"#2 - Original PFP vers Annonceur avec archivage","0.2","EDT","2018","1","0","0"
"#3 - Original PDF vers Editique avec archivage","0.13","EDT","2018","1","1560","1567"
"#4 - Copie PFP vers Agence sans archivage","0.1","EDT","2018","1","644","656"
"#5 - Copie PDF vers Editique sans archivage","0.03","EDT","2018","1","456","409"
"#6 - Copie PDF vers Agence sans archivage","0.03","EDT","2018","1","372","726"
"#7 - Composition  & Personnalisation N&B","0.046","CECURITY - IMPRESSION","2018","1","7866","7866"
"#8 - Traitement forfait (prise en charge Laser) 12 envois","62.82","CECURITY - IMPRESSION","2018","1","1","1"
"#9 - Papier Blanc 80 gr","0.0105","CECURITY - IMPRESSION","2018","1","3933","3933"
"#10 - Traitement/Tri Regroupement","0.0115","CECURITY - IMPRESSION","2018","1","7866","7866"
"#11 - Fournitures C5 mécanisable-fenêtres","0.0346","CECURITY - MISE SOUS PLI","2018","1","282","282"
"#12 - 1er pli C5 mécanisable-fenêtres","0.0346","CECURITY - MISE SOUS PLI","2018","1","282","282"
"#13 - Plis >1 C5 mécanisable-fenêtres","0.0057","CECURITY - MISE SOUS PLI","2018","1","1062","1062"
"#14 - Fourniture C4 à fenêtres","0.104","CECURITY - MISE SOUS PLI","2018","1","176","176"
"#15 - Pli manuel C4 à fenêtres","0.461","CECURITY - MISE SOUS PLI","2018","1","176","176"
"#16 - Fourniture C4 à soufflet avec imp.adresse","0.576","CECURITY - MISE SOUS PLI","2018","1","3","3"
"#17 - Pli manuel C4 à soufflet","0.461","CECURITY - MISE SOUS PLI","2018","1","3","3"
"#18 - Timbres","0.0","CECURITY - AFFRANCHISSEMENT","2018","1","0","0"
"#26 - Logistique courrier industriel (par enveloppe)","0.0115","CECURITY - AFFRANCHISSEMENT","2018","1","233","233"
"#19 - Dépôt La Poste","12.05","CECURITY - AFFRANCHISSEMENT","2018","1","6","6"
"#20 - Gestion des PND","3.15","CECURITY - AFFRANCHISSEMENT","2018","1","0","0"
"#21 - Livraison par coursier intramuros","82.72","CECURITY - AFFRANCHISSEMENT","2018","1","2","2"
"#22 - Livraison par coursier 77a-78a-91a-95a","82.72","CECURITY - AFFRANCHISSEMENT","2018","1","0","0"
"#23 - Livraison par coursier 77b-78b-91b-95b","82.72","CECURITY - AFFRANCHISSEMENT","2018","1","0","0"
"#24 - Livraison par coursier 92-93-94","82.72","CECURITY - AFFRANCHISSEMENT","2018","1","0","0"
"#1 - Archives uniquement","0.1","EDT","2018","2","88","88"
"#2 - Original PFP vers Annonceur avec archivage","0.2","EDT","2018","2","0","0"
"#3 - Original PDF vers Editique avec archivage","0.13","EDT","2018","2","1502","1502"
"#4 - Copie PFP vers Agence sans archivage","0.1","EDT","2018","2","552","570"
"#5 - Copie PDF vers Editique sans archivage","0.03","EDT","2018","2","553","449"
"#6 - Copie PDF vers Agence sans archivage","0.03","EDT","2018","2","292","762"
"#7 - Composition  & Personnalisation N&B","0.046","CECURITY - IMPRESSION","2018","2","7372","7372"
"#8 - Traitement forfait (prise en charge Laser) 12 envois","62.82","CECURITY - IMPRESSION","2018","2","1","1"
"#9 - Papier Blanc 80 gr","0.0105","CECURITY - IMPRESSION","2018","2","3686","3686"
"#10 - Traitement/Tri Regroupement","0.0115","CECURITY - IMPRESSION","2018","2","7372","7372"
"#11 - Fournitures C5 mécanisable-fenêtres","0.0346","CECURITY - MISE SOUS PLI","2018","2","267","267"
"#12 - 1er pli C5 mécanisable-fenêtres","0.0346","CECURITY - MISE SOUS PLI","2018","2","267","267"
"#13 - Plis >1 C5 mécanisable-fenêtres","0.0057","CECURITY - MISE SOUS PLI","2018","2","1115","1115"
"#14 - Fourniture C4 à fenêtres","0.104","CECURITY - MISE SOUS PLI","2018","2","174","174"
"#15 - Pli manuel C4 à fenêtres","0.461","CECURITY - MISE SOUS PLI","2018","2","174","174"
"#16 - Fourniture C4 à soufflet avec imp.adresse","0.576","CECURITY - MISE SOUS PLI","2018","2","2","2"
"#17 - Pli manuel C4 à soufflet","0.461","CECURITY - MISE SOUS PLI","2018","2","2","2"
"#18 - Timbres","0.0","CECURITY - AFFRANCHISSEMENT","2018","2","0","0"
"#26 - Logistique courrier industriel (par enveloppe)","0.0115","CECURITY - AFFRANCHISSEMENT","2018","2","230","230"
"#19 - Dépôt La Poste","12.05","CECURITY - AFFRANCHISSEMENT","2018","2","3","3"
"#20 - Gestion des PND","3.15","CECURITY - AFFRANCHISSEMENT","2018","2","0","0"
"#21 - Livraison par coursier intramuros","82.72","CECURITY - AFFRANCHISSEMENT","2018","2","2","2"
"#22 - Livraison par coursier 77a-78a-91a-95a","82.72","CECURITY - AFFRANCHISSEMENT","2018","2","0","0"
"#23 - Livraison par coursier 77b-78b-91b-95b","82.72","CECURITY - AFFRANCHISSEMENT","2018","2","0","0"
"#24 - Livraison par coursier 92-93-94","82.72","CECURITY - AFFRANCHISSEMENT","2018","2","0","0"
"#1 - Archives uniquement","0.1","EDT","2018","3","6107","6107"
"#2 - Original PFP vers Annonceur avec archivage","0.2","EDT","2018","3","0","0"
"#3 - Original PDF vers Editique avec archivage","0.13","EDT","2018","3","2321","2303"
"#4 - Copie PFP vers Agence sans archivage","0.1","EDT","2018","3","797","804"
"#5 - Copie PDF vers Editique sans archivage","0.03","EDT","2018","3","880","813"
"#6 - Copie PDF vers Agence sans archivage","0.03","EDT","2018","3","499","577"
"#7 - Composition  & Personnalisation N&B","0.046","CECURITY - IMPRESSION","2018","3","8998","10258"
"#8 - Traitement forfait (prise en charge Laser) 12 envois","62.82","CECURITY - IMPRESSION","2018","3","1","1"
"#9 - Papier Blanc 80 gr","0.0105","CECURITY - IMPRESSION","2018","3","4499","5129"
"#10 - Traitement/Tri Regroupement","0.0115","CECURITY - IMPRESSION","2018","3","8998","10258"
